packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
94,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,52,5260,5,False,False,-87,,,,1743180136.41754,2025-03-28 18:42:16.417540
95,66,,,a2:8a:e4:5a:49:e1,0x001d,1,6,52,5260,5,False,False,-80,,,,1743180136.417562,2025-03-28 18:42:16.417562
96,66,,,a2:8a:e4:5a:49:e1,0x001d,1,6,52,5260,5,False,False,-80,,,,1743180136.4198582,2025-03-28 18:42:16.419858
97,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,52,5260,5,False,False,-87,,,,1743180136.4604921,2025-03-28 18:42:16.460492
98,66,,,a2:8a:e4:5a:49:e1,0x001d,1,6,52,5260,5,False,False,-80,,,,1743180136.4605265,2025-03-28 18:42:16.460526
99,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515056742437,1743180136.4676502,2025-03-28 18:42:16.467650
100,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,64,5320,5,False,False,-91,,,,1743180137.0322032,2025-03-28 18:42:17.032203
101,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,64,5320,5,False,False,-91,,,,1743180137.0751624,2025-03-28 18:42:17.075162
102,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-73,,,1051721830437,1743180137.339865,2025-03-28 18:42:17.339865
103,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673646080010,1743180137.3575032,2025-03-28 18:42:17.357503
104,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-73,,,1051721830437,1743180137.3909693,2025-03-28 18:42:17.390969
105,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-73,,,1051721932837,1743180137.4418755,2025-03-28 18:42:17.441875
106,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6673646182406,1743180137.4597487,2025-03-28 18:42:17.459749
107,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-73,,,1051721932837,1743180137.4933639,2025-03-28 18:42:17.493364
108,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-74,,,1051722035237,1743180137.5447087,2025-03-28 18:42:17.544709
109,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-88,,,3053574348837,1743180142.849198,2025-03-28 18:42:22.849198
110,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515063603237,1743180143.3283253,2025-03-28 18:42:23.328325
111,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515063705637,1743180143.3800066,2025-03-28 18:42:23.380007
112,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515063705637,1743180143.431127,2025-03-28 18:42:23.431127
113,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515063808037,1743180143.4826915,2025-03-28 18:42:23.482692
114,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-81,,,515063808037,1743180143.53345,2025-03-28 18:42:23.533450
115,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-78,,,1051728793637,1743180144.3543794,2025-03-28 18:42:24.354379
116,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-78,,,1051728896037,1743180144.4057195,2025-03-28 18:42:24.405720
117,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673653145609,1743180144.4234774,2025-03-28 18:42:24.423477
118,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-77,,,1051728896037,1743180144.4566264,2025-03-28 18:42:24.456626
119,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-77,,,1051728998437,1743180144.5079799,2025-03-28 18:42:24.507980
120,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6673653248005,1743180144.5256279,2025-03-28 18:42:24.525628
121,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-76,,,1051728998437,1743180144.5592022,2025-03-28 18:42:24.559202
122,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-90,,,3053581414437,1743180149.9149199,2025-03-28 18:42:29.914920
123,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-77,,,515070668837,1743180150.343344,2025-03-28 18:42:30.343344
124,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-78,,,515070668837,1743180150.3946164,2025-03-28 18:42:30.394616
125,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-78,,,515070771237,1743180150.4455466,2025-03-28 18:42:30.445547
126,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-77,,,515070771237,1743180150.496664,2025-03-28 18:42:30.496664
127,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-76,,,515070873637,1743180150.548157,2025-03-28 18:42:30.548157
128,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-78,,,1051735859237,1743180151.3688204,2025-03-28 18:42:31.368820
